"doc_id","in_db","status_id","old_status_id","unaccounted_status","active","region","report_check_act_link","report_date","report_project_date_start","report_project_date_end","url"
"10461","True","0","","Государственная кадастровая оценка отменена","","Хабаровский край","http://195.161.118.19/fdgko/pers_stor/56382/51323/2019 08 02_1434.pdf","","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2qhFhQlli5l1h2yMA52WZ_f9tjRUT3dtzn-4MDDhfgg3jITjipB9H7veHLa35YrFm2YNu8TpeYFOUmPRUZIsZwfgMOLPZAsmURyxH3DPh_-g8g6PHLJOj1_C3itUE2_wGEir9CGl8y_lpyhVAFj1YPzui-JwNNL6070qiNs-FkyDptqCJr_V8rJxxB48xE4Tga3dJ9MlSKTg7dbBQd7SZ1Cz4RwqjqC8pSqVWknpYge7k!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=10461"
"18461","True","1","","","","Тверская область","http://195.161.118.19/fdgko/pers_stor/62945/57982/Тверская область  338 в редакции 875.zip","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wob2ahFRQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvP4lh8Xa5Yt2C4_r2JMN8V2ddlkiJjA9Qs4ssQD6Y5FLEc8MOD_6X-AoMeRSdHr-VfEZ4NsPgGEilMhtS-ZjJZcIpTB46E7Z3TbkoG6ldadqNfG2XAyZJ02VJK1_q-lE46gdmagcOyNftBzMFSIRnbNrBcN7Qd1Dz4shl6dK5SFUstIvQGx2j_p/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=18461"
"19201","True","1","","","","Магаданская область","http://195.161.118.19/fdgko/pers_stor/63982/59062/12.03.2021 129-23 Магаданская обл 2022, 2023.pdf","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2ahFRQllS6l1h1yMA52WZ_f9tjhkj3dtzn-4MDDiXwVrxlLZzUrWj8XvHlPTstNixdsH12WS8x2ea79XWbImIMtwFwYrEHkj2LWIZ4ZMD_0_8AQY8jk6DX80HEd4N0PgGEilMhlS8Zj5ZcIRTB46lbZ3TTkIGqkdadqdPG2XAyZJ02VJC1_q-FE46gcqancOyMftKrN5SLWrb1rBM1HXr1CD4sgk5dSpS5UqtIfQDctJxt/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=19201"
"19301","True","1","","","","Хабаровский край","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2ahFRQllS6l1h1yMA52WZ_f9tjhkj3dtzn-4MDDiXwVrxlLZzUrWj8XvHlPTstNixdsH12WS8x2ea79XWbImIMtwFwYrEHkj2LWIZ4ZMD_0_8AQY8jk6DX80HEd4N0PgGEilMhlS8Zj5ZcIRTB46lbZ3TTkIGqkdadqdPG2XAyZJ02VJC1_q-FE46gcqancOyMftKrN5SLWrb1rBM1HXr1CD4sgk5dSpS5UqtIfQDctJxt/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=19301"
"20081","True","1","","","","Ивановская область","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-6Wkb2ahFhQllS6l1h1yMA52WZ_f9tjhUj3dtzn-4MDDhXwTrxkI5zUnWj9XvPlLTsuNixdsF12Xi8xyYvt-pKniBjD9Qs4stgDyY5FLEM8MOD_6X-AoMeRSdDr-VfEZ4N0PgGEilMhtS8Zj5ZcIZTB46E7Z3TbkoG6ldadqNfG2XAyZJ02VJK1_q-lE46gdmagcOyNftBzMFSIRnbNrBcN7Qd1Dz4MoVfnCmWh1CpSbweR_RE!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=20081"
"20601","True","4","","","","Мурманская область","","01.01.2023","2023-07-28 00:00:00","2023-08-26 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKQqm15uQ4YOdDo8rDdSNYzCuo628_ltL52ImLuQ7z8Q4HAB3omnbISTuhOt32seXfP9fMWyOSvyYxphsi436WmdIWIM5xGwZ7EHkoLNWI64Y8D_038AQY9fJkGv56OI9wbZ9AcQKv4KqX3J-GvJBUIVPO66c0a3LRmoW2ndgXptnA0nQ9ZpQxVZ6_9aOeEIamcGCsfe6Ds9BkOlaGTXTHrR0HZQt-CzhF4dLyhLpRYz9QI4W-84/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=20601"
"20641","True","1","","","","Новосибирская область","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDbCsIwDIbfyKQqm15uQ4YOdDo8rDdSNYzCuo628_ltL52ImLuQ7z8Q4HAB3omnbISTuhOt32seXfP9fMWyOSvyYxphsi436WmdIWIM5xGwZ7EHkoLNWI64Y8D_038AQY9fJkGv56OI9wbZ9AcQKv4KqX3J-GvJBUIVPO66c0a3LRmoW2ndgXptnA0nQ9ZpQxVZ6_9aOeEIamcGCsfe6Ds9BkOlaGTXTHrR0HZQt-CzhF4dLyhLpRYz9QI4W-84/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=20641"
"21021","True","5","","","","Республика Башкортостан","","01.01.2023","2023-07-11 00:00:00","2023-08-09 00:00:00","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkb6ahFhQlli5l1h2yMA52WZ_f9tjRkT3dtzn-4MDDlfgvXjKVjipe9H5vearW3Zcbli6ZLusWq8wyYvt-pyniBjBZQIcWeSBZMcWLEM8MOD_6T-AoMcvk6DX80nEe4N0_gMIFX-F1L5k9LVkjFAGj0b3zuiuIwN1J6070aCNs-FkyDptqCRr_V9LJxxB7cxI4TgY3dBjNFSIVvbtbBAt7Ud1Dz4xDKq6oiyUihfqBU664KU!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=21021"
"21061","True","1","","","","Республика Марий Эл","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkb6ahFhQlli5l1h2yMA52WZ_f9tjRkT3dtzn-4MDDlfgvXjKVjipe9H5vearW3Zcbli6ZLusWq8wyYvt-pyniBjBZQIcWeSBZMcWLEM8MOD_6T-AoMcvk6DX80nEe4N0_gMIFX-F1L5k9LVkjFAGj0b3zuiuIwN1J6070aCNs-FkyDptqCRr_V9LJxxB7cxI4TgY3dBjNFSIVvbtbBAt7Ud1Dz4xDKq6oiyUihfqBU664KU!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=21061"
"21081","True","1","","","","Пермский край","","01.01.2023","","","https://rosreestr.gov.ru/wps/portal/p/cc_ib_portal_services/cc_ib_ais_fdgko/!ut/p/z1/lZDfC4IwEMf_o-5Wkb6ahFhQlli5l1h2yMA52WZ_f9tjRkT3dtzn-4MDDlfgvXjKVjipe9H5vearW3Zcbli6ZLusWq8wyYvt-pyniBjBZQIcWeSBZMcWLEM8MOD_6T-AoMcvk6DX80nEe4N0_gMIFX-F1L5k9LVkjFAGj0b3zuiuIwN1J6070aCNs-FkyDptqCRr_V9LJxxB7cxI4TgY3dBjNFSIVvbtbBAt7Ud1Dz4xDKq6oiyUihfqBU664KU!/p0/IZ7_GQ4E1C41KGUB60AIPJBVIC0080=CZ6_GQ4E1C41KGUB60AIPJBVIC0007=MEcontroller!null==/?restoreSessionState=true&action=viewProcedure&id=21081"
